證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)
2317   	鴻海         	20170601	   99.57	  100.53	   99.09	  100.53	    27441	     2851027
2330   	台積電       	20170601	  198.39	  200.32	  197.90	  200.32	    29623	     6096361
2412   	中華電       	20170601	  103.13	  103.60	  102.65	  103.13	    10351	     1116612
Y9999  	加權指數     	20170601	10064.44	10100.37	10059.93	10087.42	  3935374	    82752107
2317   	鴻海         	20170602	  101.01	  101.49	  100.53	  101.49	    38194	     4008520
2330   	台積電       	20170602	  201.77	  202.26	  200.81	  202.26	    23265	     4845442
2412   	中華電       	20170602	  103.13	  103.60	  102.17	  103.13	     7341	      791589
Y9999  	加權指數     	20170602	10117.76	10152.53	10117.06	10152.53	  4262071	    88417012
2317   	鴻海         	20170603	  101.01	  101.49	  100.53	  101.01	     9968	     1046425
2330   	台積電       	20170603	  202.26	  202.26	  201.29	  202.26	     1535	      320348
2412   	中華電       	20170603	  103.13	  103.13	  102.17	  102.65	     3247	      349275
Y9999  	加權指數     	20170603	10155.56	10164.98	10140.28	10158.15	  2798294	    46104007
2317   	鴻海         	20170605	  101.01	  101.97	  101.01	  101.49	    29383	     3096213
2330   	台積電       	20170605	  202.74	  205.16	  202.26	  205.16	    22545	     4746962
2412   	中華電       	20170605	  102.65	  103.13	  102.65	  103.13	     6841	      736736
Y9999  	加權指數     	20170605	10164.89	10226.84	10164.89	10226.84	  4481379	    93903092
2317   	鴻海         	20170606	  101.49	  101.49	  101.01	  101.01	    21309	     2240531
2330   	台積電       	20170606	  203.71	  204.68	  203.71	  203.71	    15382	     3243804
2412   	中華電       	20170606	  103.13	  103.13	  102.65	  103.13	     7977	      859764
Y9999  	加權指數     	20170606	10213.17	10221.64	10190.39	10206.18	  4293252	    87145486
2317   	鴻海         	20170607	  101.01	  101.49	  100.53	  101.01	    27310	     2864892
2330   	台積電       	20170607	  205.16	  205.65	  203.23	  204.68	    34729	     7342424
2412   	中華電       	20170607	  103.13	  103.60	  102.65	  102.65	     8852	      953833
Y9999  	加權指數     	20170607	10216.14	10242.39	10183.15	10209.99	  4559947	   103836410
2317   	鴻海         	20170608	  101.01	  101.49	  100.53	  101.01	    15154	     1592538
2330   	台積電       	20170608	  205.16	  206.13	  204.68	  206.13	    21654	     4599496
2412   	中華電       	20170608	  103.13	  103.60	  103.13	  103.60	     6526	      706459
Y9999  	加權指數     	20170608	10215.93	10235.70	10211.00	10225.78	  4040636	    86075208
2317   	鴻海         	20170609	  101.01	  101.97	  101.01	  101.01	    34929	     3673085
